x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
259;574;309;687;[     105.55      59.042      235.02];124.41;10.86;0;1;0;10.86;96.74;B;(0, 255, 0);8;9;284;630;910.22;551.33
92;444;153;548;[     64.219      56.332      129.12];71.36;110.91;0;3;0;71.36;96.74;A;(255, 0, 0);8;9;122;496;1121.62;528.5
1719;493;1761;606;[     104.16      79.085       140.9];40.51;95.51;0;4;0;40.51;96.74;A;(255, 0, 0);8;9;1740;549;1121.62;528.5
495;447;536;555;[     106.24      45.049      231.51];128.5;3.76;0;5;0;3.76;96.74;B;(0, 255, 0);8;9;515;501;910.22;551.33
855;466;906;550;[     98.275      37.185      234.88];135.77;14.53;0;6;0;14.53;96.74;B;(0, 255, 0);8;9;880;508;910.22;551.33
766;648;817;767;[     104.44      206.74      106.06];92.51;201.67;0;7;0;92.51;96.74;A;(255, 0, 0);8;9;791;707;1121.62;528.5
1138;415;1172;510;[     81.712      65.455         137];56.32;99.02;0;8;0;56.32;96.74;A;(255, 0, 0);8;9;1155;462;1121.62;528.5
415;663;456;783;[     109.43      57.015      227.05];118.53;9.83;0;9;0;9.83;96.74;B;(0, 255, 0);8;9;435;723;910.22;551.33
1316;599;1348;721;[     106.54      54.157      238.55];129.84;8.89;0;10;0;8.89;96.74;B;(0, 255, 0);8;9;1332;660;910.22;551.33
734;377;781;470;[     100.36      40.703      226.46];126.84;11.23;0;11;0;11.23;96.74;B;(0, 255, 0);8;9;757;423;910.22;551.33
863;552;905;664;[     174.38      202.45      161.47];118.02;182.04;0;12;0;118.02;96.74;X;(0, 0, 255);8;9;884;608;884.0;608.0
1008;527;1051;630;[     101.45      43.074      234.19];131.79;7.99;0;13;0;7.99;96.74;B;(0, 255, 0);8;9;1029;578;910.22;551.33
1511;471;1541;574;[     111.55      45.755      227.61];125.12;7.19;0;14;0;7.19;96.74;B;(0, 255, 0);8;9;1526;522;910.22;551.33
1858;366;1888;457;[     82.622      57.861      121.04];61.78;113.3;0;15;0;61.78;96.74;A;(255, 0, 0);8;9;1873;411;1121.62;528.5
1420;370;1448;465;[     104.21      40.306      227.75];128.09;9.51;0;16;0;9.51;96.74;B;(0, 255, 0);8;9;1434;417;910.22;551.33
797;479;825;579;[     107.33      184.18      91.934];75.59;194.41;0;17;0;75.59;96.74;A;(255, 0, 0);8;9;811;529;1121.62;528.5
1044;511;1080;600;[     106.39      207.15      105.94];92.99;202.06;0;18;0;92.99;96.74;A;(255, 0, 0);8;9;1062;555;1121.62;528.5
1398;471;1441;568;[     106.26      188.43      80.767];84.58;205.43;0;19;0;84.58;96.74;A;(255, 0, 0);8;9;1419;519;1121.62;528.5
259;572;310;687;[     106.55      59.305      235.33];124.59;11.19;1;1;0;11.19;94.97;B;(0, 255, 0);8;9;284;629;909.67;551.67
98;444;158;546;[     67.235      57.992      126.47];68.23;112.4;1;3;0;68.23;94.97;A;(255, 0, 0);8;9;128;495;1123.12;528.88
1714;491;1756;607;[     103.68      80.466      140.59];39.11;96.26;1;4;0;39.11;94.97;A;(255, 0, 0);8;9;1735;549;1123.12;528.88
494;447;535;554;[     106.34      43.763      231.65];129.33;5.05;1;5;0;5.05;94.97;B;(0, 255, 0);8;9;514;500;909.67;551.67
849;468;901;554;[     99.109      34.996      241.93];142.77;18.76;1;6;0;18.76;94.97;B;(0, 255, 0);8;9;875;511;909.67;551.67
776;648;827;767;[     102.26      205.01      105.46];90.93;200.73;1;7;0;90.93;94.97;A;(255, 0, 0);8;9;801;707;1123.12;528.88
1138;415;1172;510;[     80.247      61.485      136.46];60.34;99.32;1;8;0;60.34;94.97;A;(255, 0, 0);8;9;1155;462;1123.12;528.88
418;664;458;784;[     110.21      56.674      227.84];119.43;9.5;1;9;0;9.5;94.97;B;(0, 255, 0);8;9;438;724;909.67;551.67
1315;599;1347;720;[     107.21      54.157      237.52];128.96;8.13;1;10;0;8.13;94.97;B;(0, 255, 0);8;9;1331;659;909.67;551.67
734;377;782;470;[     100.77       37.68       236.5];136.75;13.41;1;11;0;13.41;94.97;B;(0, 255, 0);8;9;758;423;909.67;551.67
863;553;904;664;[     174.22      202.15      162.16];117.92;181.46;1;12;0;117.92;94.97;X;(0, 0, 255);8;9;883;608;883.0;608.0
1008;526;1052;631;[     101.11      42.592      233.18];131.22;8.28;1;13;0;8.28;94.97;B;(0, 255, 0);8;9;1030;578;909.67;551.67
1508;472;1538;576;[     110.46      42.051      226.51];126.28;9.35;1;14;0;9.35;94.97;B;(0, 255, 0);8;9;1523;524;909.67;551.67
1856;366;1886;458;[     84.011      56.842      120.48];62.34;113.48;1;15;0;62.34;94.97;A;(255, 0, 0);8;9;1871;412;1123.12;528.88
1420;370;1449;465;[     104.61      39.684       227.2];128.03;10.21;1;16;0;10.21;94.97;B;(0, 255, 0);8;9;1434;417;909.67;551.67
795;479;824;580;[     107.74      179.96      94.869];70.56;189.37;1;17;0;70.56;94.97;A;(255, 0, 0);8;9;809;529;1123.12;528.88
1045;512;1081;601;[     105.99       198.5      104.79];84.77;196.1;1;18;0;84.77;94.97;A;(255, 0, 0);8;9;1063;556;1123.12;528.88
1401;471;1445;571;[     98.507      90.013      107.95];31.21;130.44;1;19;0;31.21;94.97;A;(255, 0, 0);8;9;1423;521;1123.12;528.88
259;570;311;686;[     106.28      59.022      235.67];125.02;11.05;2;1;0;11.05;95.49;B;(0, 255, 0);8;9;285;628;909.0;551.67
105;444;165;546;[     67.649      59.291      128.94];67.02;110.07;2;3;0;67.02;95.49;A;(255, 0, 0);8;9;135;495;1124.62;528.5
1711;491;1751;602;[     104.62       87.56         136];30.82;103.04;2;4;0;30.82;95.49;A;(255, 0, 0);8;9;1731;546;1124.62;528.5
493;447;534;554;[     105.78      43.548      231.46];129.28;5.28;2;5;0;5.28;95.49;B;(0, 255, 0);8;9;513;500;909.0;551.67
842;469;896;557;[     98.098      35.286      240.49];141.45;18.21;2;6;0;18.21;95.49;B;(0, 255, 0);8;9;869;513;909.0;551.67
784;647;834;765;[     104.52      206.32       108.9];91.57;199.59;2;7;0;91.57;95.49;A;(255, 0, 0);8;9;809;706;1124.62;528.5
1139;415;1172;510;[     80.134      60.508      137.03];61.38;98.69;2;8;0;61.38;95.49;A;(255, 0, 0);8;9;1155;462;1124.62;528.5
420;664;461;783;[     109.88      56.722      228.33];119.82;9.23;2;9;0;9.23;95.49;B;(0, 255, 0);8;9;440;723;909.0;551.67
1314;598;1346;721;[     106.89      53.975      235.89];127.61;6.83;2;10;0;6.83;95.49;B;(0, 255, 0);8;9;1330;659;909.0;551.67
736;378;782;468;[     100.41      37.208      231.88];133.27;13.02;2;11;0;13.02;95.49;B;(0, 255, 0);8;9;759;423;909.0;551.67
863;553;904;664;[     174.32      201.84      161.96];117.69;181.32;2;12;0;117.69;95.49;X;(0, 0, 255);8;9;883;608;883.0;608.0
1008;525;1053;631;[     101.32      43.302      231.72];129.62;7.43;2;13;0;7.43;95.49;B;(0, 255, 0);8;9;1030;578;909.0;551.67
1506;472;1536;577;[     107.88      41.139      230.69];130.08;7.87;2;14;0;7.87;95.49;B;(0, 255, 0);8;9;1521;524;909.0;551.67
1855;366;1884;458;[     106.57      175.74      100.21];64.5;182.59;2;15;0;64.5;95.49;A;(255, 0, 0);8;9;1869;412;1124.62;528.5
1420;370;1449;465;[     104.56      39.653      225.91];127.01;10.85;2;16;0;10.85;95.49;B;(0, 255, 0);8;9;1434;417;909.0;551.67
794;479;823;580;[     82.663      63.777      119.42];56.34;115.48;2;17;0;56.34;95.49;A;(255, 0, 0);8;9;808;529;1124.62;528.5
1048;512;1085;603;[     107.04      202.66      108.19];88.18;197.15;2;18;0;88.18;95.49;A;(255, 0, 0);8;9;1066;557;1124.62;528.5
1403;471;1446;571;[     98.206      89.391      106.88];32.34;131.27;2;19;0;32.34;95.49;A;(255, 0, 0);8;9;1424;521;1124.62;528.5
260;566;313;686;[     106.65       58.12      236.45];126.14;10.57;3;1;0;10.57;92.92;B;(0, 255, 0);9;8;286;626;913.88;556.25
111;444;171;547;[     108.81      117.64      145.21];21.59;110.38;3;3;0;21.59;92.92;A;(255, 0, 0);9;8;141;495;1096.22;527.0
1705;490;1745;599;[     103.76      87.883      136.99];30.87;102.26;3;4;0;30.87;92.92;A;(255, 0, 0);9;8;1725;544;1096.22;527.0
491;446;532;553;[     105.79      43.466      228.33];126.75;6.21;3;5;0;6.21;92.92;B;(0, 255, 0);9;8;511;499;913.88;556.25
832;469;892;567;[     89.444      43.255      142.96];76.35;90.26;3;6;0;76.35;92.92;A;(255, 0, 0);9;8;862;518;1096.22;527.0
788;644;839;765;[      103.7      201.67      109.47];86.88;195.6;3;7;0;86.88;92.92;A;(255, 0, 0);9;8;813;704;1096.22;527.0
1139;414;1173;509;[     83.566      64.063         138];57.14;97.39;3;8;0;57.14;92.92;A;(255, 0, 0);9;8;1156;461;1096.22;527.0
422;664;462;783;[     110.18      56.521      229.28];120.76;8.9;3;9;0;8.9;92.92;B;(0, 255, 0);9;8;442;723;913.88;556.25
1312;597;1345;722;[     107.24      53.631      233.52];125.73;5.33;3;10;0;5.33;92.92;B;(0, 255, 0);9;8;1328;659;913.88;556.25
739;382;783;467;[     100.32      35.853      233.45];135.34;14.41;3;11;0;14.41;92.92;B;(0, 255, 0);9;8;761;424;913.88;556.25
863;553;905;664;[     174.26       201.2      162.67];117.42;180.48;3;12;0;117.42;92.92;X;(0, 0, 255);9;8;884;608;884.0;608.0
1009;524;1053;631;[     101.38      43.019      233.38];131.15;7.84;3;13;0;7.84;92.92;B;(0, 255, 0);9;8;1031;577;913.88;556.25
1503;472;1533;578;[      114.6       46.44       223.2];121.37;11.94;3;14;0;11.94;92.92;B;(0, 255, 0);9;8;1518;525;913.88;556.25
1853;366;1882;457;[     80.877      53.462      120.94];66.5;113.5;3;15;0;66.5;92.92;A;(255, 0, 0);9;8;1867;411;1096.22;527.0
1420;369;1449;465;[     105.11      39.546      227.11];128.04;10.3;3;16;0;10.3;92.92;B;(0, 255, 0);9;8;1434;417;913.88;556.25
793;479;822;580;[     107.83      179.25      96.347];69.31;187.81;3;17;0;69.31;92.92;A;(255, 0, 0);9;8;807;529;1096.22;527.0
1051;515;1089;607;[     107.95      203.45      110.56];88.6;196.31;3;18;0;88.6;92.92;A;(255, 0, 0);9;8;1070;561;1096.22;527.0
1404;470;1447;571;[     89.544      75.486       114.3];43.96;121.32;3;19;0;43.96;92.92;A;(255, 0, 0);9;8;1425;520;1096.22;527.0
263;565;317;685;[     106.13      58.683       234.2];123.87;10.25;4;1;0;10.25;91.31;B;(0, 255, 0);8;9;290;625;907.33;552.67
118;445;177;548;[     107.27      114.78      144.25];20.27;109.36;4;3;0;20.27;91.31;A;(255, 0, 0);8;9;147;496;1126.88;528.25
1701;490;1740;600;[     103.27      85.846      139.37];33.72;99.31;4;4;0;33.72;91.31;A;(255, 0, 0);8;9;1720;545;1126.88;528.25
488;446;529;554;[     105.55      44.031      228.26];126.37;5.8;4;5;0;5.8;91.31;B;(0, 255, 0);8;9;508;500;907.33;552.67
823;471;886;573;[     96.729      35.623      238.87];139.99;17.9;4;6;0;17.9;91.31;B;(0, 255, 0);8;9;854;522;907.33;552.67
793;643;844;763;[     103.03      200.98      106.99];86.66;196.62;4;7;0;86.66;91.31;A;(255, 0, 0);8;9;818;703;1126.88;528.25
1140;414;1173;509;[     84.061      65.591      138.69];55.76;96.86;4;8;0;55.76;91.31;A;(255, 0, 0);8;9;1156;461;1126.88;528.25
422;665;463;784;[     109.81      56.454      230.09];121.47;8.52;4;9;0;8.52;91.31;B;(0, 255, 0);8;9;442;724;907.33;552.67
1311;597;1344;722;[     106.72       53.98      233.46];125.49;5.56;4;10;0;5.56;91.31;B;(0, 255, 0);8;9;1327;659;907.33;552.67
742;382;785;467;[     99.025      35.571      231.12];133.67;15.11;4;11;0;15.11;91.31;B;(0, 255, 0);8;9;763;424;907.33;552.67
864;553;905;664;[      174.4       200.8      163.02];117.33;180.06;4;12;0;117.33;91.31;X;(0, 0, 255);8;9;884;608;884.0;608.0
1010;524;1054;631;[     101.21      44.316      231.38];128.76;6.79;4;13;0;6.79;91.31;B;(0, 255, 0);8;9;1032;577;907.33;552.67
1501;474;1531;579;[     112.38      45.975      226.78];124.37;8.18;4;14;0;8.18;91.31;B;(0, 255, 0);8;9;1516;526;907.33;552.67
1850;365;1880;457;[     107.17       185.9      102.27];73.37;188.38;4;15;0;73.37;91.31;A;(255, 0, 0);8;9;1865;411;1126.88;528.25
1420;369;1449;465;[     104.88      39.463      228.07];128.86;10.04;4;16;0;10.04;91.31;B;(0, 255, 0);8;9;1434;417;907.33;552.67
795;478;823;579;[     107.31      181.61       95.69];71.69;189.92;4;17;0;71.69;91.31;A;(255, 0, 0);8;9;809;528;1126.88;528.25
1054;516;1094;609;[     107.37      201.36      109.28];86.71;195.45;4;18;0;86.71;91.31;A;(255, 0, 0);8;9;1074;562;1126.88;528.25
1405;470;1448;570;[     88.332      71.573      116.16];47.6;118.89;4;19;0;47.6;91.31;A;(255, 0, 0);8;9;1426;520;1126.88;528.25
267;564;321;684;[     106.32      58.466      235.21];124.86;10.36;5;1;0;10.36;91.1;B;(0, 255, 0);8;9;294;624;907.78;553.56
129;446;186;548;[     107.38      106.06      142.36];20.97;105.91;5;3;0;20.97;91.1;A;(255, 0, 0);8;9;157;497;1129.12;528.38
1695;491;1735;601;[     103.98      84.336      144.13];37.36;94.31;5;4;0;37.36;91.1;A;(255, 0, 0);8;9;1715;546;1129.12;528.38
487;446;527;554;[     105.13      44.442      227.75];125.71;5.85;5;5;0;5.85;91.1;B;(0, 255, 0);8;9;507;500;907.78;553.56
820;474;885;579;[     98.395       35.86      227.32];130.51;15.73;5;6;0;15.73;91.1;B;(0, 255, 0);8;9;852;526;907.78;553.56
801;642;852;761;[     103.12      200.88      107.93];86.38;195.95;5;7;0;86.38;91.1;A;(255, 0, 0);8;9;826;701;1129.12;528.38
1142;414;1175;509;[     81.592       66.12      141.49];56.94;94.9;5;8;0;56.94;91.1;A;(255, 0, 0);8;9;1158;461;1129.12;528.38
424;665;465;785;[      109.8      56.037      228.36];120.18;8.61;5;9;0;8.61;91.1;B;(0, 255, 0);8;9;444;725;907.78;553.56
1310;596;1343;722;[     105.85      54.458      223.69];116.83;9.62;5;10;0;9.62;91.1;B;(0, 255, 0);8;9;1326;659;907.78;553.56
745;383;787;467;[     103.45      31.351      241.51];144.49;20.34;5;11;0;20.34;91.1;B;(0, 255, 0);8;9;766;425;907.78;553.56
865;553;907;666;[     174.39      201.28      163.66];117.88;180.22;5;12;0;117.88;91.1;X;(0, 0, 255);8;9;886;609;886.0;609.0
1011;525;1055;632;[     100.13      44.962      229.48];126.84;7.54;5;13;0;7.54;91.1;B;(0, 255, 0);8;9;1033;578;907.78;553.56
1498;475;1529;581;[     112.52      46.457      224.81];122.5;9.4;5;14;0;9.4;91.1;B;(0, 255, 0);8;9;1513;528;907.78;553.56
1847;364;1878;458;[     106.25      188.77      101.64];76.25;190.9;5;15;0;76.25;91.1;A;(255, 0, 0);8;9;1862;411;1129.12;528.38
1421;369;1450;466;[      104.2      39.167      227.34];128.44;10.69;5;16;0;10.69;91.1;B;(0, 255, 0);8;9;1435;417;907.78;553.56
795;478;823;579;[     87.625      69.737       121.5];48.92;113.49;5;17;0;48.92;91.1;A;(255, 0, 0);8;9;809;528;1129.12;528.38
1058;516;1098;610;[     107.39      200.05      107.62];85.74;195.47;5;18;0;85.74;91.1;A;(255, 0, 0);8;9;1078;563;1129.12;528.38
1407;471;1449;570;[     103.84      181.85      80.252];79.25;201.42;5;19;0;79.25;91.1;A;(255, 0, 0);8;9;1428;520;1129.12;528.38
271;564;325;682;[     106.96      58.131      235.41];125.21;10.15;6;1;0;10.15;103.52;B;(0, 255, 0);9;8;298;623;915.62;557.12
144;446;195;538;[     72.372      69.589      111.86];57.07;126.05;6;3;0;57.07;103.52;A;(255, 0, 0);9;8;169;492;1100.22;528.78
1690;492;1730;604;[     102.96      81.875      146.04];40.44;91.66;6;4;0;40.44;103.52;A;(255, 0, 0);9;8;1710;548;1100.22;528.78
486;447;526;554;[      105.1      41.082      225.72];126.01;9.7;6;5;0;9.7;103.52;B;(0, 255, 0);9;8;506;500;915.62;557.12
818;479;884;585;[      82.47      47.004       133.7];72.65;100.65;6;6;0;72.65;103.52;A;(255, 0, 0);9;8;851;532;1100.22;528.78
810;641;861;759;[     103.95      199.01      109.22];84.31;193.67;6;7;0;84.31;103.52;A;(255, 0, 0);9;8;835;700;1100.22;528.78
1143;414;1176;509;[     107.98      217.16      131.26];101.4;195.92;6;8;0;101.4;103.52;A;(255, 0, 0);9;8;1159;461;1100.22;528.78
425;665;466;785;[     110.23      55.795      229.91];121.67;8.17;6;9;0;8.17;103.52;B;(0, 255, 0);9;8;445;725;915.62;557.12
1309;596;1342;721;[      106.6      53.917      224.99];118.24;8.25;6;10;0;8.25;103.52;B;(0, 255, 0);9;8;1325;658;915.62;557.12
749;383;790;467;[      98.57      33.455      240.67];142.64;19.5;6;11;0;19.5;103.52;B;(0, 255, 0);9;8;769;425;915.62;557.12
867;554;909;666;[      174.1      199.04      161.96];115.53;178.88;6;12;0;115.53;103.52;X;(0, 0, 255);9;8;888;610;888.0;610.0
1013;525;1058;633;[     101.13      44.774      227.13];125.0;7.86;6;13;0;7.86;103.52;B;(0, 255, 0);9;8;1035;579;915.62;557.12
1495;478;1527;583;[      110.1      44.857      225.75];124.01;7.92;6;14;0;7.92;103.52;B;(0, 255, 0);9;8;1511;530;915.62;557.12
1844;365;1875;458;[     107.54      186.45      106.59];72.74;185.85;6;15;0;72.74;103.52;A;(255, 0, 0);9;8;1859;411;1100.22;528.78
1422;369;1451;465;[     105.08      38.774      226.94];128.37;11.07;6;16;0;11.07;103.52;B;(0, 255, 0);9;8;1436;417;915.62;557.12
797;479;826;579;[     84.068      54.524      124.44];64.4;109.45;6;17;0;64.4;103.52;A;(255, 0, 0);9;8;811;529;1100.22;528.78
1059;520;1099;612;[     107.14      193.57      104.41];80.14;192.61;6;18;0;80.14;103.52;A;(255, 0, 0);9;8;1079;566;1100.22;528.78
1409;471;1450;569;[     87.634      73.472      112.74];46.79;122.69;6;19;0;46.79;103.52;A;(255, 0, 0);9;8;1429;520;1100.22;528.78
276;565;330;681;[      106.1      57.237      232.79];123.3;8.54;7;1;0;8.54;93.22;B;(0, 255, 0);8;9;303;623;909.78;554.56
152;447;204;542;[     59.297      55.841      112.36];75.38;128.23;7;3;0;75.38;93.22;A;(255, 0, 0);8;9;178;494;1133.38;528.62
1688;494;1726;605;[      104.9      80.664      144.56];40.77;92.57;7;4;0;40.77;93.22;A;(255, 0, 0);8;9;1707;549;1133.38;528.62
486;448;525;554;[     105.41       42.99      220.45];120.66;12.49;7;5;0;12.49;93.22;B;(0, 255, 0);8;9;505;501;909.78;554.56
819;483;884;589;[     100.89      36.002      230.98];133.26;13.91;7;6;0;13.91;93.22;B;(0, 255, 0);8;9;851;536;909.78;554.56
819;640;869;756;[     104.82      203.87      109.11];89.12;197.52;7;7;0;89.12;93.22;A;(255, 0, 0);8;9;844;698;1133.38;528.62
1145;415;1177;508;[     81.838      58.595       148.5];65.79;87.04;7;8;0;65.79;93.22;A;(255, 0, 0);8;9;1161;461;1133.38;528.62
426;666;467;785;[     110.01       55.46      228.13];120.28;8.31;7;9;0;8.31;93.22;B;(0, 255, 0);8;9;446;725;909.78;554.56
1307;596;1341;721;[     107.08      54.555      227.03];119.66;7.3;7;10;0;7.3;93.22;B;(0, 255, 0);8;9;1324;658;909.78;554.56
751;376;796;467;[     101.15      35.672      237.31];138.56;15.27;7;11;0;15.27;93.22;B;(0, 255, 0);8;9;773;421;909.78;554.56
868;554;910;667;[     174.51      199.64      162.58];116.42;179.3;7;12;0;116.42;93.22;X;(0, 0, 255);8;9;889;610;889.0;610.0
1017;525;1061;633;[     100.81      45.658      228.01];125.22;7.21;7;13;0;7.21;93.22;B;(0, 255, 0);8;9;1039;579;909.78;554.56
1494;479;1527;584;[        110      45.663      225.15];123.05;7.97;7;14;0;7.97;93.22;B;(0, 255, 0);8;9;1510;531;909.78;554.56
1842;365;1874;458;[     108.08      192.22      109.47];77.75;188.28;7;15;0;77.75;93.22;A;(255, 0, 0);8;9;1858;411;1133.38;528.62
1423;369;1452;465;[     104.16      38.885      227.04];128.37;11.07;7;16;0;11.07;93.22;B;(0, 255, 0);8;9;1437;417;909.78;554.56
796;479;824;578;[     91.088      62.544      121.44];54.94;111.92;7;17;0;54.94;93.22;A;(255, 0, 0);8;9;810;528;1133.38;528.62
1059;522;1100;613;[     107.84      183.65      104.48];70.62;185.23;7;18;0;70.62;93.22;A;(255, 0, 0);8;9;1079;567;1133.38;528.62
1410;473;1451;570;[      104.3      180.02       82.58];76.45;198.46;7;19;0;76.45;93.22;A;(255, 0, 0);8;9;1430;521;1133.38;528.62
281;565;335;680;[     106.39      57.985      233.52];123.6;9.41;8;1;0;9.41;90.26;B;(0, 255, 0);9;8;308;622;928.5;571.75
163;447;215;542;[     53.371      59.397      120.43];75.42;123.46;8;3;0;75.42;90.26;A;(255, 0, 0);9;8;189;494;1096.0;516.67
1684;496;1722;606;[     103.49      75.262      141.59];44.28;93.73;8;4;0;44.28;90.26;A;(255, 0, 0);9;8;1703;551;1096.0;516.67
487;449;525;554;[     105.05      40.774      224.77];125.44;10.53;8;5;0;10.53;90.26;B;(0, 255, 0);9;8;506;501;928.5;571.75
818;486;881;591;[     102.68      35.381      229.38];132.35;14.06;8;6;0;14.06;90.26;B;(0, 255, 0);9;8;849;538;928.5;571.75
828;641;878;753;[     106.37      200.64       111.7];85.57;193.38;8;7;0;85.57;90.26;A;(255, 0, 0);9;8;853;697;1096.0;516.67
1146;414;1178;507;[     85.158      56.331      148.18];66.7;86.26;8;8;0;66.7;90.26;A;(255, 0, 0);9;8;1162;460;1096.0;516.67
428;666;469;784;[     110.06      55.415      228.87];120.94;8.03;8;9;0;8.03;90.26;B;(0, 255, 0);9;8;448;725;928.5;571.75
1306;596;1341;722;[     107.41      55.026      227.83];120.11;7.29;8;10;0;7.29;90.26;B;(0, 255, 0);9;8;1323;659;928.5;571.75
757;374;801;466;[     82.048      42.947      133.78];76.64;100.82;8;11;0;76.64;90.26;A;(255, 0, 0);9;8;779;420;1096.0;516.67
869;555;911;668;[     174.42      200.71      161.81];116.89;180.46;8;12;0;116.89;90.26;X;(0, 0, 255);9;8;890;611;890.0;611.0
1022;526;1066;634;[     101.62      47.075      226.32];123.02;7.16;8;13;0;7.16;90.26;B;(0, 255, 0);9;8;1044;580;928.5;571.75
1494;480;1528;584;[     112.05      44.615      225.91];124.41;9.03;8;14;0;9.03;90.26;B;(0, 255, 0);9;8;1511;532;928.5;571.75
1842;366;1875;458;[     108.14      198.05      107.81];83.79;193.82;8;15;0;83.79;90.26;A;(255, 0, 0);9;8;1858;412;1096.0;516.67
1425;369;1454;465;[     103.86      38.332      227.82];129.33;11.36;8;16;0;11.36;90.26;B;(0, 255, 0);9;8;1439;417;928.5;571.75
793;478;822;579;[     91.058      66.803      117.92];51.13;115.96;8;17;0;51.13;90.26;A;(255, 0, 0);9;8;807;528;1096.0;516.67
1060;519;1102;612;[     107.99      181.02      101.23];69.14;185.58;8;18;0;69.14;90.26;A;(255, 0, 0);9;8;1081;565;1096.0;516.67
1412;475;1453;572;[     85.699      75.855      109.79];46.19;126.33;8;19;0;46.19;90.26;A;(255, 0, 0);9;8;1432;523;1096.0;516.67
284;568;339;681;[     106.41      58.215      234.43];124.29;9.86;9;1;0;9.86;95.05;B;(0, 255, 0);8;9;311;624;913.78;555.33
176;448;228;542;[     68.459      60.706      114.12];66.07;123.86;9;3;0;66.07;95.05;A;(255, 0, 0);8;9;202;495;1137.88;529.5
1678;497;1717;606;[      68.74      62.027      101.55];67.97;135.87;9;4;0;67.97;95.05;A;(255, 0, 0);8;9;1697;551;1137.88;529.5
488;451;526;554;[     104.05       40.74      232.09];131.36;8.4;9;5;0;8.4;95.05;B;(0, 255, 0);8;9;507;502;913.78;555.33
816;490;876;592;[     104.27      36.089         231];133.22;12.89;9;6;0;12.89;95.05;B;(0, 255, 0);8;9;846;541;913.78;555.33
836;642;885;751;[     105.22      205.85         110];90.93;198.53;9;7;0;90.93;95.05;A;(255, 0, 0);8;9;860;696;1137.88;529.5
1148;414;1180;507;[     88.534      58.568      145.83];63.03;88.0;9;8;0;63.03;95.05;A;(255, 0, 0);8;9;1164;460;1137.88;529.5
431;665;472;783;[     109.81      55.792      230.04];121.75;7.94;9;9;0;7.94;95.05;B;(0, 255, 0);8;9;451;724;913.78;555.33
1306;597;1342;722;[     107.63      55.635      230.43];122.07;7.03;9;10;0;7.03;95.05;B;(0, 255, 0);8;9;1324;659;913.78;555.33
763;372;807;466;[     105.07      42.915      229.39];127.92;6.37;9;11;0;6.37;95.05;B;(0, 255, 0);8;9;785;419;913.78;555.33
872;555;913;667;[     174.49      202.13      163.16];118.39;181.16;9;12;0;118.39;95.05;X;(0, 0, 255);8;9;892;611;892.0;611.0
1026;526;1069;634;[      102.2      46.763      225.94];122.88;7.18;9;13;0;7.18;95.05;B;(0, 255, 0);8;9;1047;580;913.78;555.33
1494;480;1529;585;[     111.47      45.729      228.22];125.63;6.83;9;14;0;6.83;95.05;B;(0, 255, 0);8;9;1511;532;913.78;555.33
1843;366;1877;458;[     108.14      196.71      107.18];82.61;193.2;9;15;0;82.61;95.05;A;(255, 0, 0);8;9;1860;412;1137.88;529.5
1428;369;1456;465;[     103.91      39.057      225.84];127.31;11.5;9;16;0;11.5;95.05;B;(0, 255, 0);8;9;1442;417;913.78;555.33
792;489;819;578;[     104.21       76.45      124.77];39.67;110.24;9;17;0;39.67;95.05;A;(255, 0, 0);8;9;805;533;1137.88;529.5
1060;516;1105;611;[     93.748      74.786      114.13];43.58;120.83;9;18;0;43.58;95.05;A;(255, 0, 0);8;9;1082;563;1137.88;529.5
1413;478;1453;574;[     82.405      73.006      112.76];49.16;123.47;9;19;0;49.16;95.05;A;(255, 0, 0);8;9;1433;526;1137.88;529.5
288;569;343;681;[     105.91      58.073      236.67];126.33;10.64;10;1;0;10.64;94.79;B;(0, 255, 0);9;8;315;625;925.5;557.5
189;450;241;540;[     72.015      58.161      113.08];66.66;123.6;10;3;0;66.66;94.79;A;(255, 0, 0);9;8;215;495;1108.89;531.67
1676;498;1714;605;[     105.09      186.42      96.573];75.69;192.7;10;4;0;75.69;94.79;A;(255, 0, 0);9;8;1695;551;1108.89;531.67
491;453;529;554;[     102.24      37.353      235.47];136.08;12.8;10;5;0;12.8;94.79;B;(0, 255, 0);9;8;510;503;925.5;557.5
816;493;872;592;[      86.05      45.225      133.57];73.42;100.03;10;6;0;73.42;94.79;A;(255, 0, 0);9;8;844;542;1108.89;531.67
844;642;894;752;[     105.61      205.51      108.03];90.95;199.48;10;7;0;90.95;94.79;A;(255, 0, 0);9;8;869;697;1108.89;531.67
1151;413;1183;506;[     87.381      60.223      150.77];63.68;83.66;10;8;0;63.68;94.79;A;(255, 0, 0);9;8;1167;459;1108.89;531.67
434;665;476;783;[     109.83      55.997      230.18];121.77;8.11;10;9;0;8.11;94.79;B;(0, 255, 0);9;8;455;724;925.5;557.5
1308;597;1344;722;[     107.77      55.763      229.77];121.44;7.31;10;10;0;7.31;94.79;B;(0, 255, 0);9;8;1326;659;925.5;557.5
768;372;811;467;[     104.73      45.658      224.59];122.41;7.73;10;11;0;7.73;94.79;B;(0, 255, 0);9;8;789;419;925.5;557.5
